id;kode_obat;nama_obat;satuan;harga_satuan;komposisi;kategori;keterangan;created_at;updated_at;deleted_at 
1;ALKHP001;ABBOCATH 18;PCS;8.700;;Alat Kesehatan Habis Pakai;;;;
2;ALKHP002;ABBOCATH 20;PCS;8.700;;Alat Kesehatan Habis Pakai;;;;
3;ALKHP003;ABBOCATH 22;PCS;8.700;;Alat Kesehatan Habis Pakai;;;;
4;ALKHP004;ABBOCATH 24;PCS;8.700;;Alat Kesehatan Habis Pakai;;;;
5;ALKHP005;ABBOCATH 26 (NEOFLON);PCS;17.000;;Alat Kesehatan Habis Pakai;;;;
6;ALKHP006;ADHESIVE TAPE FOR STERILISATION;ROLL;64.648;;Alat Kesehatan Habis Pakai;;;;
7;ALKHP007;ALAT SUNTIK DISP 0,5 ML (DROPPING DINAS);PCS; - ;;Alat Kesehatan Habis Pakai;;;;
8;ALKHP008;ALAT SUNTIK DISP 20 ML;PCS;3.080;;Alat Kesehatan Habis Pakai;;;;
9;ALKHP009;ALAT SUNTIK DISP 3 ML;b ;1.099;;Alat Kesehatan Habis Pakai;;;;
10;ALKHP010;ALAT SUNTIK DISPOSIBLE 10 CC;FLS;1.308;;Alat Kesehatan Habis Pakai;;;;
11;ALKHP011;ALAT SUNTIK SEKALI PAKAI 1 ML;SET;;;Alat Kesehatan Habis Pakai;;;;
12;ALKHP012;ALAT SUNTIK SEKALI PAKAI 2,5 ML;SET;1.265;;Alat Kesehatan Habis Pakai;;;;
13;ALKHP013;ALAT SUNTIK SEKALI PAKAI 5 ML;SET;;;Alat Kesehatan Habis Pakai;;;;
14;ALKHP014;BISTURI;PCS;2.790;;Alat Kesehatan Habis Pakai;;;;
15;ALKHP015;CAT GUT 100 M;Roll;925.000;;Alat Kesehatan Habis Pakai;;;;
16;ALKHP016;CAT GUT CHROME NO. 3/0 HR 26 MM;SACH;32.800;;Alat Kesehatan Habis Pakai;;;;
17;ALKHP017;CAT GUT CHROME NO. 3/0 HR 30 MM;PCS;34.170;;Alat Kesehatan Habis Pakai;;;;
18;ALKHP018;CAT GUT PLAIN NO. 3/0 HR 26 MM;SACH;34.300;;Alat Kesehatan Habis Pakai;;;;
19;ALKHP019;CAT GUT SILK NO. 3/0 HR 26 MM;SAK;19.700;;Alat Kesehatan Habis Pakai;;;;
20;ALKHP020;CATETER NELATON;pcs;4.100;;Alat Kesehatan Habis Pakai;;;;
21;ALKHP021;FOLLEY CATHETER no 16;PCS;9.990;;Alat Kesehatan Habis Pakai;;;;
22;ALKHP022;INFUSION SET ANAK;SET;9.130;;Alat Kesehatan Habis Pakai;;;;
23;ALKHP023;INFUSION SET DEWASA;SET;7.295;;Alat Kesehatan Habis Pakai;;;;
24;ALKHP024;INHALER ROTACAPS;PCS;5.000;;Alat Kesehatan Habis Pakai;;;;
25;ALKHP025;JARUM AKUPUNTUR 20X15;BOX;51.700;;Alat Kesehatan Habis Pakai;;;;
26;ALKHP026;JARUM AKUPUNTUR 25X25;BOX;51.700;;Alat Kesehatan Habis Pakai;;;;
27;ALKHP027;JARUM AKUPUNTUR 22X15;BOX;51.700;;Alat Kesehatan Habis Pakai;;;;
28;ALKHP028;JARUM AKUPUNTUR 25X40;BOX;51.700;;Alat Kesehatan Habis Pakai;;;;
29;ALKHP029;JARUM AKUPUNTUR 25X50;BOX;51.700;;Alat Kesehatan Habis Pakai;;;;
30;ALKHP030;JARUM AKUPUNTUR 30X40;BOX;51.700;;Alat Kesehatan Habis Pakai;;;;
31;ALKHP031;JARUM JAHIT (BEDAH) KULIT NO.9 S/D 14;BH;27.000;;Alat Kesehatan Habis Pakai;;;;
32;ALKHP032;JARUM JAHIT (BEDAH) OTOT NO.9 S/D 14;BH;;;Alat Kesehatan Habis Pakai;;;;
33;ALKHP033;JARUM TINDIK;BOX;42.900;;Alat Kesehatan Habis Pakai;;;;
34;ALKHP034;KANTONG PLASTIK  KLIP ETIKET 13 x 8,7 CM;PACK;6.000;;Alat Kesehatan Habis Pakai;;;;
35;ALKHP035;KANTONG PLASTIK  KLIP ETIKET 15 x 10 CM;PACK;13.636;;Alat Kesehatan Habis Pakai;;;;
36;ALKHP036;KANTONG PLASTIK BINTANG;PAK 100 LMBR;10.000;;Alat Kesehatan Habis Pakai;;;;
37;ALKHP037;KANTONG PLASTIK KLIP;LB;136;;Alat Kesehatan Habis Pakai;;;;
